2017-01-19 13:26:31,124 [Worker-62] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SensorProgram:SensorProgram:0.0.1-SNAPSHOT @ /Users/Amanda/FinalYearProject/SensorProgram/pom.xml.
2017-01-19 13:26:31,837 [Worker-62] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.eclipse.org/content/repositories/paho-releases/com/google/code/gson/gson/2.5=6.2/gson-2.5=6.2.pom
2017-01-19 13:26:32,111 [Worker-62] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/code/gson/gson/2.5=6.2/gson-2.5=6.2.pom
2017-01-19 13:26:32,112 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.code.gson:gson:jar:2.5=6.2 is missing, no dependency information available
2017-01-19 13:26:32,601 [Worker-62] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.eclipse.org/content/repositories/paho-releases/com/google/code/gson/gson/2.5=6.2/gson-2.5=6.2.jar
2017-01-19 13:26:32,690 [Worker-62] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/code/gson/gson/2.5=6.2/gson-2.5=6.2.jar
2017-01-19 13:26:32,863 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-19 13:26:32,864 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Amanda/FinalYearProject/SensorProgram/src/main/resources
2017-01-19 13:26:32,866 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-19 13:26:32,867 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Amanda/FinalYearProject/SensorProgram/src/test/resources
2017-01-19 13:31:14,341 [Worker-63] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SensorProgram:SensorProgram:0.0.1-SNAPSHOT @ /Users/Amanda/FinalYearProject/SensorProgram/pom.xml.
2017-01-19 13:31:14,421 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.eclipse.org/content/repositories/paho-releases/com/google/code/gson/gson/2.8.0/gson-2.8.0.pom
2017-01-19 13:31:14,582 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/code/gson/gson/2.8.0/gson-2.8.0.pom
